date,BNB,TRX,APT,DOT,ATOM
2023-02-17,274177805.01563615,,,,
2023-02-18,265528821.29713297,,,,
2023-02-19,237833067.60929888,,,,
2023-02-20,241915890.49694756,,,,
2023-02-21,260646403.1040609,,,,
2023-02-22,256292050.095305,,,,
2023-02-23,261637988.9066265,,,,
2023-02-24,264444834.1397196,,,,
2023-02-25,245395522.347182,,,,
2023-02-26,234277349.0106357,,,,
2023-02-27,225769715.9940233,,,,
2023-02-28,269609707.3448131,,,,
2023-03-01,305199860.0543174,,,,
2023-03-02,272702782.5942519,,,,
2023-03-03,259611232.94089323,,,,
2023-03-04,238669602.48260856,,,,
2023-03-05,202664115.6125294,,,,
2023-03-06,194877960.3567863,,,,
2023-03-07,218678093.17416757,,,,
2023-03-08,219423053.5090272,,,,
2023-03-09,204119265.10360453,,,,
2023-03-10,217338798.55848488,,,,
2023-03-11,224753511.03105357,,,,
2023-03-12,252622848.5670049,,,,
2023-03-13,217765211.8883553,,,,
2023-03-14,254644941.1317804,,,,
2023-03-15,249345209.09375063,,,,
2023-03-16,285219865.17097056,,,,
2023-03-17,277385433.67444897,,,,
2023-03-18,278497193.2809556,,,,
2023-03-19,248517855.3082974,,,,
2023-03-20,236156634.50114983,,,,
2023-03-21,268355856.87402156,,,,
2023-03-22,252870787.4140076,,,,
2023-03-23,312524443.3725838,,,,
2023-03-24,251592042.25412276,,,,
2023-03-25,261476601.51448017,,,,
2023-03-26,261203065.1786292,,,,
2023-03-27,193690125.06090465,,,,
2023-03-28,240252435.4242111,,,,
2023-03-29,248806062.63899103,,,,
2023-03-30,237520138.61865097,,,,
2023-03-31,237034100.8771999,,,,
2023-04-01,254834111.41724724,,,,
2023-04-02,226972402.3809611,,,,
2023-04-03,226083564.53255484,,,,
2023-04-04,280880732.7033883,,,,
2023-04-05,240535895.34664515,,,,
2023-04-06,246558372.5959453,,,,
2023-04-07,260480564.45159853,,,,
2023-04-08,229722163.89970613,,,,
2023-04-09,215887902.79037097,,,,
2023-04-10,213306326.06762105,,,,
2023-04-11,264615795.74303195,,,,
2023-04-12,250988454.31955427,,,,
2023-04-13,246980135.2519042,,,,
2023-04-14,269378503.8808619,,,,
2023-04-15,243673762.94904777,,,,
2023-04-16,205515830.4627459,,,,
2023-04-17,209615309.62697688,,,,
2023-04-18,238308042.76563725,,,,
2023-04-19,255385672.79725352,,,,
2023-04-20,264049993.59905255,,,,
2023-04-21,258685007.5383055,,,,
2023-04-22,243623624.9301493,,,,
2023-04-23,207153468.4749188,,,,
2023-04-24,218770677.75018904,,,,
2023-04-25,292584588.4361661,,,,
2023-04-26,297044013.3943671,,,,
2023-04-27,286624557.1306468,,,,
2023-04-28,264714985.8778112,,,,
2023-04-29,240163091.92770445,,,,
2023-04-30,240163091.92770445,,,,
2023-05-01,214727950.82573035,,,,
2023-05-02,237448873.5297612,,,,
2023-05-03,214509432.75521907,,,,
2023-05-04,226143976.99434084,,,,
2023-05-05,211955894.4866184,,,,
2023-05-06,240033923.9480344,,,,
2023-05-07,220109885.1811065,,,,
2023-05-08,239941379.15517488,,,,
2023-05-09,276063192.1380246,,,,
2023-05-10,271996831.8650638,,,,
2023-05-11,261151678.5158528,,,,
2023-05-12,238696517.66686547,,,,
2023-05-13,258405856.5105061,,,,
2023-05-14,197811044.25129807,,,,
2023-05-15,205059464.61115816,,,,
2023-07-10,,,,164801.71329917564,
2023-07-11,,,,132554.86173265878,
2023-07-12,,,,129177.87194554789,
2023-07-13,,,,139491.47692242602,
2023-07-14,,,,153362.52220025196,
2023-07-15,,,,153406.11056524125,
2023-07-16,,,,146208.47100401184,
2023-07-17,,,,142375.74137100653,
2023-07-18,,,,137377.42137980615,
2023-07-19,,503334758.1357817,,137274.9861760358,
2023-07-20,,491517334.398944,,139686.02213902105,
2023-07-21,,478683533.6845905,,145340.7684219164,
2023-07-22,,508027697.97206646,,141359.26219710635,
2023-07-23,,482418622.0614886,,139832.37159855635,
2023-07-24,,443229914.703142,,135558.5704051403,
2023-07-25,,438153941.74340594,,133036.54011455088,
2023-07-26,,449689514.7893157,,133401.06491471865,
2023-07-27,,464663598.2073112,,132460.31841028176,
2023-07-28,,473240838.7038524,,130706.09320770355,
2023-07-29,,475753133.15113854,,130541.24194608652,
2023-07-30,,458759014.2791247,,127742.77663727057,
2023-07-31,,428888995.5801354,,125837.6096471956,
2023-08-01,,428148990.5419411,,126522.18145121948,
2023-08-02,,431288674.92971385,,131446.54775530763,
2023-08-03,,426414820.1231612,974155.189889433,129950.19087615168,
2023-08-04,,436731487.2962925,1198223.2348007015,128749.8173300918,
2023-08-05,,438448276.2401981,1249134.1560732715,128212.6333251209,
2023-08-06,,439247246.205257,1292950.1851879477,128134.23064802504,
2023-08-07,,426577212.2453235,1243712.582542138,126365.24215120572,
2023-08-08,,421909856.79110616,1238012.8753068903,129074.93789009991,
2023-08-09,,425218469.7121766,1271867.0099339073,127069.6629957028,
2023-08-10,,430617840.2178061,1274243.3099115838,126020.70086162387,
2023-08-11,,428087770.5158439,1215521.2769565,125802.7112186318,
2023-08-12,,429680022.83428425,1204230.4048700046,125228.85143607216,
2023-08-13,,429680022.83428425,1211751.589384662,121961.45018148782,
2023-08-14,,428869842.7073823,1226640.9204325762,120304.63838532944,
2023-08-15,,424880313.03030646,1149232.0581631772,116395.24952331108,
2023-08-16,,419888065.2525081,1083634.398121459,111533.7199479962,
2023-08-17,,413551834.1811662,995162.9786775528,105285.96379409196,
2023-08-18,,413551834.1811662,1058286.020643463,110815.77185281036,
2023-08-19,,401945147.8807895,1092080.3409891543,110853.22660424972,
2023-08-20,,401945147.8807895,1114192.5039056498,110100.66303028866,
2023-08-21,,415601935.5774604,1096932.521982293,109189.50651340083,
2023-08-22,,415601935.5774604,1055938.4148998077,106804.50685311608,
2023-08-23,,413507346.4237252,1107572.873678947,110394.24104524031,
2023-08-24,,413507346.4237252,1070342.915220874,108425.82292076768,
2023-08-25,,413507346.4237252,1051902.6248944737,110922.27095464672,
2023-08-26,,412985128.1665329,1067331.7612657547,111109.94773674452,
2023-08-27,,412985128.1665329,1049784.1094761628,109908.7667083347,
2023-08-28,,412985128.1665329,1054224.1333828329,111845.35683555192,
2023-08-29,,400731061.83368766,1090457.1161241997,114573.47954194948,
2023-08-30,,402992052.63547766,1070025.4549495706,114734.24730840434,
2023-08-31,,404601461.64369214,1019827.1705064016,108845.14339772252,
2023-09-01,,406190615.6172091,1023278.1287815056,102923.40656174932,
2023-09-02,,402275602.41623706,1029965.0576442982,102879.4970041108,
2023-09-03,,397658775.2414928,1007345.3837055002,102334.51025883724,
2023-09-04,,394774532.9105476,1007089.7973067143,100583.7017650572,
2023-09-05,,396776406.2916667,1006667.5393020088,101394.44788294306,
2023-09-06,,406131644.0905419,1017809.1862633814,101111.04526567824,
2023-09-07,,408051498.09116495,1032039.5922512152,101191.66713328444,
2023-09-08,,406177438.520596,1026738.7914255398,99803.46184480612,
2023-09-09,,405415980.0951218,1019107.2130790956,99419.37216426677,
2023-09-10,,398030956.7541032,981978.212816082,97028.53676096236,
2023-09-11,,389546667.14451176,933261.062115042,92927.99757002738,
2023-09-12,,410021729.66392165,949646.3043371664,94527.6232784518,
2023-09-13,,409605558.4970188,969275.3642397278,104931.93173992822,
2023-09-14,,421007172.4897436,965307.9931953629,107879.39256146963,
2023-09-15,,420737144.4818716,966612.5294633746,108819.45607861206,
2023-09-16,,419499851.8206489,978694.6586239868,108457.29088492844,
2023-09-17,,415654015.04223216,951012.393603387,103816.64120458036,
2023-09-18,,416125103.55025387,943800.6010746936,105686.7927705725,
2023-09-19,,417000370.61834246,939803.289404848,110419.56450294214,
2023-09-20,,420771843.59712416,933612.9721886452,109642.44116361956,
2023-09-21,,415844628.9852543,910417.1856574302,105010.35645090128,
2023-09-22,,419844978.9822523,913161.9363441915,104694.06571863744,
2023-09-23,,421435951.9072305,906295.787797624,104345.98740925932,
2023-09-24,,420165090.2179504,943562.3162963355,104727.70535845314,
2023-09-25,,418474799.3370256,985594.0320283186,107341.8391870264,
2023-09-26,,419663169.0298113,917931.5128377972,106360.32165364025,
2023-09-27,,426226150.0112369,919226.4652848152,105887.440802845,
2023-09-28,,433440978.854228,930764.7275629804,108714.80296913726,
2023-09-29,,449817417.8615481,944177.1905947676,106960.75152866068,
2023-09-30,,446198267.6551459,950889.3349612344,107448.17611504982,
2023-10-01,,445947098.66246986,970522.2941370708,109336.88600264608,
2023-10-02,,435638972.8386779,939396.3542789366,107890.1643569421,
2023-10-03,,438104632.1333532,936956.5169405704,107336.92404590812,
2023-10-04,,448730894.0662125,928978.9064238728,108080.87464008508,
2023-10-05,,444507425.4901672,893030.6366139589,108396.59950168816,
2023-10-06,,438676220.606756,898929.7882670244,110051.46851036591,
2023-10-07,,442093258.5589409,876002.198113405,108974.36642244688,
2023-10-08,,439705829.6157016,868316.5205461027,108032.58201542692,
2023-10-09,,428820032.84008366,826173.0967661128,104774.44478554206,
2023-10-10,,432367328.9973308,813548.8726314048,104260.8001953469,
2023-10-11,,434209550.3143834,801876.2840603625,102800.53559736634,
2023-10-12,,430381612.98987776,788127.6150404831,101549.3934998138,
2023-10-13,,432821743.7605582,797381.0023954348,94680.27011410828,
2023-10-14,,430914222.7360721,797608.2382262719,93396.70408018534,
2023-10-15,,436317559.5257385,790261.1492607002,94107.67815337628,
2023-10-16,,444858536.9668587,809427.8393023327,95742.85577666158,
2023-10-17,,446012161.6876709,801159.5039700122,92730.5073318406,
2023-10-18,,453673816.5443394,787773.4606349306,94110.76453239888,
2023-10-19,,455697881.8546805,791281.6493622811,90333.49860199408,
2023-10-20,,461350899.56821054,840822.8591734851,92483.28108345042,
2023-10-21,,464988053.2904959,1000955.0275951744,98784.835717634,
2023-10-22,,453313059.107313,1149553.4253824537,98325.36634742378,
2023-10-23,,456461783.1886408,1182689.611890202,111324.5908062654,
2023-10-24,,467910249.1884917,1196878.018489448,116995.55626168058,
2023-10-25,,477023777.8347102,1253696.5890344332,127974.1147407273,
2023-10-26,,473188016.831604,1174252.3355690518,130438.0429571201,
2023-10-27,,477962847.0134978,1161064.3582835037,130388.74286887152,
2023-10-28,,482750940.57086587,1162177.274560876,132121.4224494505,
2023-10-29,,479304179.4231311,1141596.9850634406,134689.3141262052,
2023-10-30,,478347288.8268134,1134778.7765737365,140239.97783492223,
2023-10-31,,488097166.6566708,1117261.539500408,141689.93092641106,
2023-11-01,,512534490.44553137,1157843.9812440134,155875.37393856997,
2023-11-02,,506939358.78725576,1060588.4114844638,153782.8546423495,
2023-11-03,,500182874.095974,1044910.249070365,154877.3511355639,
2023-11-04,,501407197.0285093,1100998.5340486737,157665.44389653072,
2023-11-05,,500253099.33876896,1077080.5911338846,162972.46523740026,
2023-11-06,,495463112.2849242,1168196.3367321114,178908.8930165923,
2023-11-07,,492008046.4076442,1128007.7425435353,184929.5154978511,
2023-11-08,,502841562.3844628,1131163.4737250034,188907.38273797117,
2023-11-09,,501151451.9463972,1064538.5700632513,186158.9717497047,
2023-11-10,,541868304.092214,1084737.476917609,201397.61445113,
2023-11-11,,552103014.254792,1130653.8042254625,214387.96696935283,
2023-11-12,,555027540.2179658,1148279.7641550156,226124.7172824689,
2023-11-13,,547416210.7110113,1063120.9035140483,214930.2159160908,
2023-11-14,,523127604.6215504,1013685.8676540066,210684.44673533636,
2023-11-15,,528911597.4699429,1078807.5059239103,210110.069534124,
2023-11-16,,,1012128.472751958,222607.1544048918,
2023-11-17,,,980657.2733620924,207692.1448865127,
2023-11-18,,,941278.820519471,199860.3103685937,
2023-11-19,,,862945.9784524385,201621.6193625014,
2023-11-20,,,762336.8329582668,207662.0967834984,
2023-11-21,,,634241.9270529225,195877.5996101141,
2023-11-22,,,664670.9105816925,189878.44191462567,
2023-11-23,,,669104.3574464824,189461.96244530525,
2023-11-24,,,701158.5752049468,199406.4468652387,
2023-11-25,,,727540.8307245201,194219.70124880635,
2023-11-26,,,740135.327600933,192092.6500172119,
2023-11-27,,,730427.5132610565,182885.4447880948,
2023-11-28,,,746032.336132768,181646.46532321323,
2023-11-29,,,741678.877086973,185974.26490645303,
2023-11-30,,,735885.4482648252,176939.38514302188,
