date,inflationrate,feerevenue,totalsupply,circulatingsupply,riskreward,stakedtokens,realrewardrate,marketcap,price
2023-09-19,25.481134326203208,939803.289404848,1055980430.2595564,235958699.210134,0.0033084135501384,858967413.930984,-15.238487433891668,1231704409.8768995,5.22
2023-09-20,25.468515021608734,933612.9721886452,1056144705.908742,236122974.004447,0.0032922937369399,859139736.1963205,-15.229962336222547,1223117005.3430357,5.18
2023-09-21,25.45630196252246,910417.1856574302,1056309041.3820316,236287302.221036,0.0032857741942907,859325374.0027033,-15.22171004867271,1202702368.305073,5.09
2023-09-22,25.90721270698591,913161.9363441915,1056475639.1488856,236453908.393365,0.0032108104534931,875163357.5351706,-15.545181007648443,1215373089.141896,5.14
2023-09-23,25.89466277461388,906295.787797624,1056642895.8572708,236621170.795729,0.0031921814007216,875358184.0607119,-15.536762046562346,1216232817.890047,5.14
2023-09-24,25.881430251636942,943562.3162963355,1056810213.8800104,236788474.780789,0.0031978754408155,875529473.5601383,-15.527883360208929,1254978916.3381815,5.3
2023-09-25,25.96386685856458,985594.0320283186,1056977766.8339068,236956035.539617,0.0031497495440505,878939710.9529768,-15.583165838029323,1315105997.2448742,5.55
2023-09-26,26.23106220041729,917931.5128377972,1057146198.3056476,237124467.861953,0.0031001571532027,888616114.3023635,-15.761852323501646,1259130924.3469703,5.31
2023-09-27,26.21752137388909,919226.4652848152,1057316114.1133645,237294383.129887,0.003103909906905,888793821.8888984,-15.75281511430655,1260033174.4197,5.31
2023-09-28,26.203758509186358,930764.7275629804,1057506825.6045364,237470888.064724,0.003106745948022,888988008.2783881,-15.743627728598977,1265719833.384979,5.33
2023-09-29,26.188978748877645,944177.1905947676,1057676825.5965033,237655086.745285,0.0030984320952942,889175761.5614522,-15.733759283676129,1283337468.424539,5.4
2023-09-30,26.18384558812752,950889.3349612344,1057846894.9267569,237825156.123369,0.0030959481116798,889637661.176216,-15.73033133172722,1303281855.5560622,5.48
2023-10-01,26.167132928014396,970522.2941370708,1058016982.181023,237995240.758422,0.0030971178574706,889705655.1973413,-15.71916859625392,1349433015.1002526,5.67
2023-10-02,26.708760466580166,939396.3542789366,1058187807.08605,238166068.285343,0.003027673696923,908773299.1575328,-16.051813159315586,1298005072.1551194,5.45
2023-10-03,26.701289245080524,936956.5169405704,1058361644.9228362,238339904.007435,0.0030184519220852,909182210.3169956,-16.046862968973276,1277501885.4798515,5.36
2023-10-04,26.688709186252677,928978.9064238728,1058535622.8875488,238499370.187224,0.0030146578053239,909361878.079426,-16.038526508609785,1271201643.097904,5.33
2023-10-05,26.702212669870285,893030.6366139589,1058709778.4414538,238688039.51074,0.0029173957067745,910541712.4573704,-16.030476335896694,1248338446.6411705,5.23
2023-10-06,26.687319251077955,898929.7882670244,1058883926.5470858,238862187.515044,0.002881384791116,910697814.2744316,-16.02060484055592,1273135459.4551845,5.33
2023-10-07,26.673809054357672,876002.198113405,1059058111.807516,239036372.851575,0.0028660878480192,910900553.7810676,-16.011648149685687,1259721684.9278002,5.27
2023-10-08,25.53264007469846,868316.5205461027,1059229650.355385,239207911.866872,0.0029771296316137,872555782.8112997,-15.248142325803949,1246273220.8264031,5.21
2023-10-09,25.34277771715669,826173.0967661128,1059395899.1277822,239374160.19828,0.003001067828438,866669314.379328,-15.119764865234352,1189689576.1854515,4.97
2023-10-10,25.328227173175687,813548.8726314048,1059561627.4170104,239526064.531267,0.0030033769961549,866721380.0898654,-15.109910312734064,1178468237.4938335,4.92
2023-10-11,22.851334813668053,801876.2840603625,1059724677.3361926,239702938.434985,0.0033402104749332,782540582.8665122,-13.398381375232338,1157765192.6409776,4.83
2023-10-12,25.20658762234033,788127.6150404831,1059883363.218284,239847912.586537,0.0029620483308509,863717934.5461273,-15.027438674651572,1158465417.7929738,4.83
2023-10-13,24.72646265254898,797381.0023954348,1060045080.9135976,244553316.659268,0.0029175463930609,863888088.9852896,-14.700343304737371,1195865718.4638205,4.89
2023-10-14,24.71496856060264,797608.2382262719,1060206863.6366616,244715087.680632,0.0029119222798225,864057703.5589262,-14.692481841848338,1211339684.0191283,4.95
2023-10-15,24.652891436999017,790261.1492607002,1060368401.5476948,244890140.808474,0.0029137950296526,862503968.8029523,-14.649998708982558,1209757295.5938616,4.94
2023-10-16,24.63800374903001,809427.8393023327,1060583381.6134572,245105130.244811,0.0029068423185687,862739845.7297809,-14.63980387154008,1242683010.3411918,5.07
2023-10-17,24.69892307852087,801159.5039700122,1060746170.505621,245267940.287676,0.0028929987708487,865447523.5564492,-14.674719738355837,1223887022.0355034,4.99
2023-10-18,24.696487529416355,787773.4606349306,1060908799.8449562,245430544.541608,0.0028951703257266,865935887.7093613,-14.673053180507644,1214881195.4809597,4.95
2023-10-19,24.74391684739505,791281.6493622811,1061039418.4831536,245561168.024663,0.0028950490041272,868060662.5835453,-14.705495635379451,1205705335.0010953,4.91
2023-10-20,24.733872186143486,840822.8591734851,1061202710.5011208,245724449.427548,0.0029904157853037,868285244.7143211,-14.698626976626638,1243365714.1033928,5.06
2023-10-21,24.722293933000355,1000955.0275951744,1061366272.0021776,245888013.584516,0.0031763141425869,868456484.2037002,-14.690708256891972,1359760715.1223736,5.53
2023-10-22,24.71058340415981,1149553.4253824537,1061530226.0487812,246051964.039297,0.0035049786691343,868623896.5778679,-14.68269757412508,1503377500.2801049,6.11
2023-10-23,24.70159791334968,1182689.611890202,1061694189.1561252,246202257.503931,0.0035215578794008,868838419.4560208,-14.676549955732677,1506757815.9240575,6.12
2023-10-24,24.68369135015676,1196878.018489448,1061857453.0373654,246365530.202163,0.0035059808075492,868784350.7698373,-14.664296149853897,1542248219.0655403,6.26
2023-10-25,25.17606204741172,1253696.5890344332,1062023079.2593236,246544822.346506,0.0033320636992511,886759040.1820959,-14.999957771718345,1708555618.8612864,6.93
2023-10-26,25.164751543858227,1174252.3355690518,1062190274.7847412,246712023.164914,0.0032023147745789,886961766.7880802,-14.99227674916358,1613496631.4985375,6.54
2023-10-27,25.577835966402876,1161064.3582835037,1062358075.2108858,246879813.173761,0.0030563218623596,902134550.2999775,-15.271907035835351,1622000372.55161,6.57
2023-10-28,25.565367331383783,1162177.274560876,1062528199.8628885,247049937.623595,0.0029423718532894,902316135.7626246,-15.263493540223594,1689821573.3453898,6.84
2023-10-29,25.552789867584696,1141596.9850634406,1062698362.0108732,247220099.81624,0.0029024294113008,902493409.2179232,-15.255004916883683,1663791271.7632954,6.73
2023-10-30,25.54073166540183,1134778.7765737365,1062882754.2015347,247390286.044522,0.0028551232158921,902688511.170105,-15.246865150043543,1699571265.1258662,6.87
2023-10-31,25.553085226332183,1117261.539500408,1063038750.3881236,247560492.873931,0.0028283133870588,903746482.7782592,-15.25520427618704,1727972240.2600384,6.98
2023-11-01,25.538883581817966,1157843.9812440134,1063209106.8184812,247730848.520452,0.0027730231865676,903865763.537809,-15.239776266887938,1756411716.0100043,7.09
2023-11-02,25.531964657277527,1060588.4114844638,1063379600.4281504,247901338.48869,0.0027404887942491,904242768.422351,-15.23510455165078,1651022914.3346753,6.66
2023-11-03,25.803680505880852,1044910.249070365,1063551543.1572,248073285.457068,0.0026577586254405,914499752.6998186,-15.418183181829992,1664571745.416926,6.71
2023-11-04,25.790214389641893,1100998.5340486737,1063724026.3866732,248245768.514827,0.0027032477559252,914658015.8857024,-15.409128514243143,1745167752.659234,7.03
2023-11-05,25.77552792956316,1077080.5911338846,1063896529.9631742,248418267.903558,0.0026906494502598,914772365.609084,-15.399251072442244,1711601865.8555143,6.89
2023-11-06,25.762865479215,1168196.3367321114,1064069058.799724,248590796.374219,0.0026929335103458,914957980.4042315,-15.39073303511358,1837085985.2054784,7.39
2023-11-07,24.180392582150184,1128007.7425435353,1064239098.6788732,248760838.131723,0.0028103467967305,859344490.5736773,-14.312528424640323,1815954118.3615775,7.3
2023-11-08,23.82980398176572,1131163.4737250034,1064400180.4492255,248921918.461116,0.002815339447779,847433342.4613909,-14.069928906881955,1856957511.7199247,7.46
2023-11-09,24.659179105411184,1064538.5700632513,1064560751.548465,249082495.192837,0.0026819803983805,877493201.9705602,-14.64163380538328,1820793039.8596385,7.31
2023-11-10,24.64810698900195,1084737.476917609,1064724784.2031152,249246527.838651,0.0026138238567518,877676813.8197674,-14.634051678467452,1871841424.068269,7.51
2023-11-11,24.295832413302072,1130653.8042254625,1064889052.1712904,249410795.668032,0.0026577123534041,865703092.8592473,-14.392110716809212,1895522047.077043,7.6
2023-11-12,24.28469651613424,1148279.7641550156,1065052274.2223256,249574016.115664,0.0026400996672829,865872578.664575,-14.384440257947128,1959156026.5079625,7.85
2023-11-13,22.19649400127776,1063120.9035140483,1065215679.2855904,274579815.395052,0.0025998387597336,870712799.2585124,-12.92136532584368,2029144835.7694345,7.39
2023-11-14,21.903672033190976,1013685.8676540066,1065378266.7164738,274742402.299151,0.0025919292664264,859734901.1728277,-12.712195767959855,1958913328.3929467,7.13
2023-11-15,21.896177610597835,1078807.5059239103,1065540391.422235,274904526.614816,0.0025628378209281,859947891.990936,-12.706829137890196,2119513900.2002316,7.71
2023-11-16,21.88912528540364,1012128.472751958,1065716040.30595,275066633.934429,0.002529609150679,860177855.6134975,-12.701778483644288,1991482429.685266,7.24
2023-11-17,21.868691514197725,980657.2733620924,1065864633.1340852,275228765.816442,0.0024825739782244,859881408.183796,-12.687141156673889,1987151689.1947112,7.22
2023-11-18,21.86280252166852,941278.820519471,1066026793.5595604,275390928.722885,0.0024226709348204,860156351.6103632,-12.682921782403875,1947013866.0707967,7.07
2023-11-19,21.854266058512728,862945.9784524385,1066188999.1139826,275553133.811412,0.0021926258943236,860326932.1205283,-12.67680481132698,1995004688.794623,7.24
2023-11-20,21.87313631795508,762336.8329582668,1066351324.8028612,275715459.916122,0.0019048353438052,861577038.217046,-12.690325521454993,2001694238.9910457,7.26
2023-11-21,22.11762141064,634241.9270529225,1066515000.113683,275879132.702125,0.0015815901576121,871724415.3518652,-12.865123504011478,1895289641.6635988,6.87
2023-11-22,22.10885822802857,664670.9105816925,1066679380.2109648,276043516.046787,0.0016100489883393,871898244.6113868,-12.85887024077047,2028919842.9438848,7.35
2023-11-23,22.112869255977515,669104.3574464824,1066830095.0696664,276194225.804649,0.0016577448578018,872532537.1358702,-12.861732555849104,1999646194.8256588,7.24
2023-11-24,22.10497714569029,701158.5752049468,1067008340.3521576,276372475.791335,0.0016890623802082,872784042.5038557,-12.839464962943826,2056211219.8875325,7.44
2023-11-25,22.095706985248643,727540.8307245201,1067172900.997312,276537036.22656,0.0017570568850654,872937486.9859954,-12.8328472679902,2043608697.7142785,7.39
2023-11-26,22.087009906750616,740135.327600933,1067337449.575602,276701587.308186,0.0018141540602476,873113120.3591828,-12.82663776568247,2014387555.603594,7.28
2023-11-27,22.078373055010843,730427.5132610565,1067502026.6028154,276866157.311243,0.0018832507720176,873290786.7226092,-12.820470388231142,1926988454.8862512,6.96
2023-11-28,22.074763710145728,746032.336132768,1067666724.8808694,277030860.216103,0.0018791439167761,873667442.9436446,-12.817892779411878,1947526947.3192043,7.03
2023-11-29,22.0685280601617,741678.877086973,1067831493.0932596,277195628.443626,0.001880897254615,873940130.4549032,-12.81343923914122,1948685267.9586904,7.03
2023-11-30,22.81420528684352,735885.4482648252,1067996637.9750547,277360768.945,0.0018170759383922,904008087.4045924,-13.342800095079989,1935978167.2361,6.98
2023-12-01,22.80276941822127,744077.4042520178,1068209639.0852904,277573774.40109,0.0018108342254877,904248848.9061104,-13.33473024162326,1956895109.5276847,7.05
2023-12-02,22.79362376400376,777021.9258351134,1068380188.8898404,277744323.916266,0.001816113179196,904441550.3020222,-13.328275422833968,2033088451.0670676,7.32
2023-12-03,22.783794600242537,761764.8898642871,1068550750.3673908,277914886.005385,0.0018021655896253,904606708.9223976,-13.32133712468876,2045453560.9996336,7.36
